Date;Time;Cycle Number;Temperature;Pressure;Active Countdown;Countdown Step;;;Vent Valve;Sterilising;Overload Alarm;System Alarm
 2018/ 01/ 26 ;13:30;2264;125;-3.34;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:30;2264;125;-11.57;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:30;2264;125;-11.66;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:30;2264;125;-11.78;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.76;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.78;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.91;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.74;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.85;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:31;2264;125;-11.64;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.66;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.74;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.64;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.74;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.66;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:32;2264;124;-11.74;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-11.87;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-11.78;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-12;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-12.04;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-11.74;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:33;2264;124;-11.94;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;124;-12.04;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;124;-12.02;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;124;-11.94;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;124;-12.04;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;123;-12.13;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:34;2264;123;-12.13;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:35;2264;123;-12.13;1;1799;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:36;2264;123;5.72;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:37;2264;122;12.49;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:38;2264;123;18.81;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:39;2264;122;20.68;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:40;2264;124;25.52;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:41;2264;124;29.18;1;1800;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:42;2264;124;183;1;1790;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;13:43;2264;124;209.27;1;1730;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;13:44;2264;123;145.33;1;1694;OFF;OFF;OFF;ON ;OFF;OFF
 2018/ 01/ 26 ;13:45;2264;121;144.86;1;1694;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:46;2264;121;148.91;1;1694;OFF;OFF;OFF;OFF;OFF;OFF
 2018/ 01/ 26 ;13:47;2264;120;141.84;1;1694;OFF;OFF;OFF;OFF;OFF;OFF
