Hydroclave Systems Corp. ,2019
Sterilization Temperature Setpoint (C) ,121
Sterilization Pressure Setpoint (kPa) ,130
Sterilization Time Setpoint ,30
Dry Cycle Time (minutes) ,5
Batch Number ,4242
Vessel Serial Number ,9002


Date,Time,Cycle Number,Temperature,Pressure,Active Countdown,Countdown Step,Jacket Valve,Vessel Valve,Vent Valve,Sterilizing,Overload Alarm,System Alarm
2019/03/08, 08:20:52, 4242, 118.6, -17.21577, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:02, 4242, 118.8, -24.71701, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:12, 4242, 118.9, -17.83588, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:22, 4242, 119.2, -24.71926, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:32, 4242, 119.4, -17.50264, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:42, 4242, 119.7, -18.7746, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:21:51, 4242, 120, -19.39915, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:02, 4242, 120.4, -16.88267, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:12, 4242, 120.7, -18.45375, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:22, 4242, 121, -21.58985, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:32, 4242, 121.3, -19.7248, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:42, 4242, 121.6, -18.77369, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:22:52, 4242, 122, -16.59657, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:23:02, 4242, 122.3, -16.28437, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:23:12, 4242, 122.7, -20.00906, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
2019/03/08, 08:23:22, 4242, 123, -18.46698, 1, 1800, ON, OFF, OFF, OFF, OFF, OFF
