Date;Time;Temperature;Pressure;Active Countdown;Countdown Step;Vent Valve;Sterilising
 2018/ 01/ 26 ;13:30;125;-3.34;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:30;125;-11.57;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:30;125;-11.66;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:30;125;-11.78;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.76;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.78;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.91;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.74;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.85;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:31;125;-11.64;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.66;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.74;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.64;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.74;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.66;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:32;124;-11.74;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-11.87;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-11.78;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-12;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-12.04;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-11.74;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:33;124;-11.94;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;124;-12.04;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;124;-12.02;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;124;-11.94;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;124;-12.04;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;123;-12.13;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:34;123;-12.13;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:35;123;-12.13;1;1799;OFF;OFF
 2018/ 01/ 26 ;13:36;123;5.72;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:37;122;12.49;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:38;123;18.81;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:39;122;20.68;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:40;124;25.52;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:41;124;29.18;1;1800;OFF;OFF
 2018/ 01/ 26 ;13:42;124;183;1;1790;OFF;ON 
 2018/ 01/ 26 ;13:43;124;209.27;1;1730;OFF;ON 
 2018/ 01/ 26 ;13:44;123;145.33;1;1694;OFF;ON 
 2018/ 01/ 26 ;13:45;121;144.86;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:46;121;148.91;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:47;120;141.84;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:48;120;143.46;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:49;120;143.48;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:50;119;146.91;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:51;119;148.37;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:52;119;151.89;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:53;119;155.49;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:54;119;159.39;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:55;120;163.33;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:56;120;168.06;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:57;120;171.04;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:58;121;175.65;1;1694;OFF;OFF
 2018/ 01/ 26 ;13:59;121;179.31;1;1694;OFF;OFF
 2018/ 01/ 26 ;14:00;122;183.21;1;1694;OFF;OFF
 2018/ 01/ 26 ;14:01;122;187.93;1;1694;OFF;OFF
 2018/ 01/ 26 ;14:02;123;192.38;1;1694;OFF;ON 
 2018/ 01/ 26 ;14:03;123;196.52;1;1694;OFF;ON 
 2018/ 01/ 26 ;14:04;124;200.19;1;1775;OFF;ON 
