,date_col,Temperature,Pressure,Active Countdown,Countdown Step,Vent Valve,Sterilising
0,810,125,-3.34,1,1799,OFF,OFF
1,810,125,-11.57,1,1799,OFF,OFF
2,810,125,-11.66,1,1799,OFF,OFF
3,810,125,-11.78,1,1799,OFF,OFF
4,811,125,-11.76,1,1799,OFF,OFF
5,811,125,-11.78,1,1799,OFF,OFF
6,811,125,-11.91,1,1799,OFF,OFF
7,811,125,-11.74,1,1799,OFF,OFF
8,811,125,-11.85,1,1799,OFF,OFF
9,811,125,-11.64,1,1799,OFF,OFF
10,812,124,-11.66,1,1799,OFF,OFF
11,812,124,-11.74,1,1799,OFF,OFF
12,812,124,-11.64,1,1799,OFF,OFF
13,812,124,-11.74,1,1799,OFF,OFF
14,812,124,-11.66,1,1799,OFF,OFF
15,812,124,-11.74,1,1799,OFF,OFF
16,813,124,-11.87,1,1799,OFF,OFF
17,813,124,-11.78,1,1799,OFF,OFF
18,813,124,-12.0,1,1799,OFF,OFF
19,813,124,-12.04,1,1799,OFF,OFF
20,813,124,-11.74,1,1799,OFF,OFF
21,813,124,-11.94,1,1799,OFF,OFF
22,814,124,-12.04,1,1799,OFF,OFF
23,814,124,-12.02,1,1799,OFF,OFF
24,814,124,-11.94,1,1799,OFF,OFF
25,814,124,-12.04,1,1799,OFF,OFF
26,814,123,-12.13,1,1799,OFF,OFF
27,814,123,-12.13,1,1799,OFF,OFF
28,815,123,-12.13,1,1799,OFF,OFF
29,816,123,5.72,1,1800,OFF,OFF
30,817,122,12.49,1,1800,OFF,OFF
31,818,123,18.81,1,1800,OFF,OFF
32,819,122,20.68,1,1800,OFF,OFF
33,820,124,25.52,1,1800,OFF,OFF
34,821,124,29.18,1,1800,OFF,OFF
35,822,124,183.0,1,1790,OFF,ON 
36,823,124,209.27,1,1730,OFF,ON 
37,824,123,145.33,1,1694,OFF,ON 
38,825,121,144.86,1,1694,OFF,OFF
39,826,121,148.91,1,1694,OFF,OFF
40,827,120,141.84,1,1694,OFF,OFF
41,828,120,143.46,1,1694,OFF,OFF
42,829,120,143.48,1,1694,OFF,OFF
43,830,119,146.91,1,1694,OFF,OFF
44,831,119,148.37,1,1694,OFF,OFF
45,832,119,151.89,1,1694,OFF,OFF
46,833,119,155.49,1,1694,OFF,OFF
47,834,119,159.39,1,1694,OFF,OFF
48,835,120,163.33,1,1694,OFF,OFF
49,836,120,168.06,1,1694,OFF,OFF
50,837,120,171.04,1,1694,OFF,OFF
51,838,121,175.65,1,1694,OFF,OFF
52,839,121,179.31,1,1694,OFF,OFF
53,840,122,183.21,1,1694,OFF,OFF
54,841,122,187.93,1,1694,OFF,OFF
55,842,123,192.38,1,1694,OFF,ON 
56,843,123,196.52,1,1694,OFF,ON 
57,844,124,200.19,1,1775,OFF,ON 
58,845,124,204.71,1,1715,OFF,ON 
59,846,125,209.36,1,1655,OFF,ON 
60,847,125,214.44,1,1595,OFF,ON 
61,848,126,220.13,1,1535,OFF,ON 
62,849,126,221.64,1,1475,OFF,ON 
63,850,127,220.18,1,1415,OFF,ON 
64,851,127,218.1,1,1355,OFF,ON 
65,852,127,214.91,1,1295,OFF,ON 
66,853,127,212.72,1,1235,OFF,ON 
67,854,126,209.94,1,1175,OFF,ON 
68,855,126,207.41,1,1115,OFF,ON 
69,856,126,204.41,1,1055,OFF,ON 
70,857,125,201.6,1,995,OFF,ON 
71,858,125,199.05,1,935,OFF,ON 
72,859,124,199.89,1,875,OFF,ON 
73,860,124,207.21,1,815,OFF,ON 
74,861,124,214.14,1,755,OFF,ON 
75,862,125,219.98,1,695,OFF,ON 
76,863,126,226.41,1,635,OFF,ON 
77,864,126,229.91,1,575,OFF,ON 
78,865,127,230.85,1,515,OFF,ON 
79,866,128,229.28,1,455,OFF,ON 
80,867,128,227.81,1,395,OFF,ON 
81,868,128,225.28,1,335,OFF,ON 
82,869,128,223.09,1,274,OFF,ON 
83,870,128,219.68,1,214,OFF,ON 
84,871,127,216.96,1,154,OFF,ON 
85,872,127,214.14,1,94,OFF,ON 
86,873,126,211.13,1,34,OFF,ON 
87,874,126,168.96,1,1,ON ,ON 
88,875,125,122.55,1,1,ON ,OFF
89,876,123,89.93,1,1,ON ,OFF
90,877,121,49.63,1,1,ON ,OFF
91,878,118,21.32,2,267,ON ,OFF
92,879,116,-3.21,2,207,ON ,OFF
93,880,115,-4.18,2,147,ON ,OFF
94,881,116,-3.58,2,87,ON ,OFF
95,882,117,-3.34,2,27,ON ,OFF
