date_col,Temperature,Pressure,Active Countdown,Countdown Step,Vent Valve,Sterilising
0,125,-3.34,1,1799,OFF,OFF
0,125,-11.57,1,1799,OFF,OFF
0,125,-11.66,1,1799,OFF,OFF
0,125,-11.78,1,1799,OFF,OFF
1,125,-11.76,1,1799,OFF,OFF
1,125,-11.78,1,1799,OFF,OFF
1,125,-11.91,1,1799,OFF,OFF
1,125,-11.74,1,1799,OFF,OFF
1,125,-11.85,1,1799,OFF,OFF
1,125,-11.64,1,1799,OFF,OFF
2,124,-11.66,1,1799,OFF,OFF
2,124,-11.74,1,1799,OFF,OFF
2,124,-11.64,1,1799,OFF,OFF
2,124,-11.74,1,1799,OFF,OFF
2,124,-11.66,1,1799,OFF,OFF
2,124,-11.74,1,1799,OFF,OFF
3,124,-11.87,1,1799,OFF,OFF
3,124,-11.78,1,1799,OFF,OFF
3,124,-12,1,1799,OFF,OFF
3,124,-12.04,1,1799,OFF,OFF
3,124,-11.74,1,1799,OFF,OFF
3,124,-11.94,1,1799,OFF,OFF
4,124,-12.04,1,1799,OFF,OFF
4,124,-12.02,1,1799,OFF,OFF
4,124,-11.94,1,1799,OFF,OFF
4,124,-12.04,1,1799,OFF,OFF
4,123,-12.13,1,1799,OFF,OFF
4,123,-12.13,1,1799,OFF,OFF
5,123,-12.13,1,1799,OFF,OFF
6,123,5.72,1,1800,OFF,OFF
7,122,12.49,1,1800,OFF,OFF
8,123,18.81,1,1800,OFF,OFF
9,122,20.68,1,1800,OFF,OFF
10,124,25.52,1,1800,OFF,OFF
11,124,29.18,1,1800,OFF,OFF
12,124,183,1,1790,OFF,ON 
13,124,209.27,1,1730,OFF,ON 
14,123,145.33,1,1694,OFF,ON 
15,121,144.86,1,1694,OFF,OFF
16,121,148.91,1,1694,OFF,OFF
17,120,141.84,1,1694,OFF,OFF
18,120,143.46,1,1694,OFF,OFF
19,120,143.48,1,1694,OFF,OFF
20,119,146.91,1,1694,OFF,OFF
21,119,148.37,1,1694,OFF,OFF
22,119,151.89,1,1694,OFF,OFF
23,119,155.49,1,1694,OFF,OFF
24,119,159.39,1,1694,OFF,OFF
25,120,163.33,1,1694,OFF,OFF
26,120,168.06,1,1694,OFF,OFF
27,120,171.04,1,1694,OFF,OFF
28,121,175.65,1,1694,OFF,OFF
29,121,179.31,1,1694,OFF,OFF
30,122,183.21,1,1694,OFF,OFF
31,122,187.93,1,1694,OFF,OFF
32,123,192.38,1,1694,OFF,ON 
33,123,196.52,1,1694,OFF,ON 
34,124,200.19,1,1775,OFF,ON 
35,124,204.71,1,1715,OFF,ON 
36,125,209.36,1,1655,OFF,ON 
37,125,214.44,1,1595,OFF,ON 
38,126,220.13,1,1535,OFF,ON 
39,126,221.64,1,1475,OFF,ON 
40,127,220.18,1,1415,OFF,ON 
41,127,218.1,1,1355,OFF,ON 
42,127,214.91,1,1295,OFF,ON 
43,127,212.72,1,1235,OFF,ON 
44,126,209.94,1,1175,OFF,ON 
45,126,207.41,1,1115,OFF,ON 
46,126,204.41,1,1055,OFF,ON 
47,125,201.6,1,995,OFF,ON 
48,125,199.05,1,935,OFF,ON 
49,124,199.89,1,875,OFF,ON 
50,124,207.21,1,815,OFF,ON 
51,124,214.14,1,755,OFF,ON 
52,125,219.98,1,695,OFF,ON 
53,126,226.41,1,635,OFF,ON 
54,126,229.91,1,575,OFF,ON 
55,127,230.85,1,515,OFF,ON 
56,128,229.28,1,455,OFF,ON 
57,128,227.81,1,395,OFF,ON 
58,128,225.28,1,335,OFF,ON 
59,128,223.09,1,274,OFF,ON 
60,128,219.68,1,214,OFF,ON 
61,127,216.96,1,154,OFF,ON 
62,127,214.14,1,94,OFF,ON 
63,126,211.13,1,34,OFF,ON 
64,126,168.96,1,1,ON ,ON 
65,125,122.55,1,1,ON ,OFF
66,123,89.93,1,1,ON ,OFF
67,121,49.63,1,1,ON ,OFF
68,118,21.32,2,267,ON ,OFF
69,116,-3.21,2,207,ON ,OFF
70,115,-4.18,2,147,ON ,OFF
71,116,-3.58,2,87,ON ,OFF
72,117,-3.34,2,27,ON ,OFF
