,date_col,Temperature
0,810,125
1,811,125
2,812,124
3,813,124
4,814,124
5,814,123
6,815,123
7,816,123
8,817,122
9,818,123
10,819,122
11,820,124
12,821,124
13,822,124
14,823,124
15,824,123
16,825,121
17,826,121
18,827,120
19,828,120
20,829,120
21,830,119
22,831,119
23,832,119
24,833,119
25,834,119
26,835,120
27,836,120
28,837,120
29,838,121
30,839,121
31,840,122
32,841,122
33,842,123
34,843,123
35,844,124
36,845,124
37,846,125
38,847,125
39,848,126
40,849,126
41,850,127
42,851,127
43,852,127
44,853,127
45,854,126
46,855,126
47,856,126
48,857,125
49,858,125
50,859,124
51,860,124
52,861,124
53,862,125
54,863,126
55,864,126
56,865,127
57,866,128
58,867,128
59,868,128
60,869,128
61,870,128
62,871,127
63,872,127
64,873,126
65,874,126
66,875,125
67,876,123
68,877,121
69,878,118
70,879,116
71,880,115
72,881,116
73,882,117
