,date_col,Temperature
0,810,125
1,811,125
2,812,124
3,814,124
4,814,123
5,816,123
6,817,122
7,818,123
8,819,122
9,820,124
10,823,124
11,824,123
12,825,121
13,826,121
14,827,120
15,829,120
16,830,119
17,834,119
18,835,120
19,837,120
20,838,121
21,839,121
22,840,122
23,841,122
24,842,123
25,843,123
26,844,124
27,845,124
28,846,125
29,847,125
30,848,126
31,849,126
32,850,127
33,853,127
34,854,126
35,856,126
36,857,125
37,858,125
38,859,124
39,861,124
40,862,125
41,863,126
42,864,126
43,865,127
44,866,128
45,870,128
46,871,127
47,872,127
48,873,126
49,874,126
50,875,125
51,876,123
52,877,121
53,878,118
54,879,116
55,880,115
56,882,117
