,date_col,Temperature
0,810,125
1,811,125
2,812,124
3,813,124
4,814,124
5,815,123
6,816,123
7,817,122
8,818,123
9,819,122
10,820,124
11,821,124
12,822,124
13,823,124
14,824,123
15,825,121
16,826,121
17,827,120
18,828,120
19,829,120
20,830,119
21,831,119
22,832,119
23,833,119
24,834,119
25,835,120
26,836,120
27,837,120
28,838,121
29,839,121
30,840,122
31,841,122
32,842,123
33,843,123
34,844,124
35,845,124
36,846,125
37,847,125
38,848,126
39,849,126
40,850,127
41,851,127
42,852,127
43,853,127
44,854,126
45,855,126
46,856,126
47,857,125
48,858,125
49,859,124
50,860,124
51,861,124
52,862,125
53,863,126
54,864,126
55,865,127
56,866,128
57,867,128
58,868,128
59,869,128
60,870,128
61,871,127
62,872,127
63,873,126
64,874,126
65,875,125
66,876,123
67,877,121
68,878,118
69,879,116
70,880,115
71,881,116
